epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3294,2.58324,2.76006,2.81918,0.30566,0.45067,0.28148,0.09919,2.2921,3.11116,2.95274,0.000659004,0.000659004,0.000659004
2,55.6711,2.15118,2.05228,2.44878,0.31767,0.424,0.21187,0.0859,2.11716,2.72612,2.59494,0.0013213,0.0013213,0.0013213
3,81.5886,1.84273,1.62144,2.12476,0.6005,0.54515,0.56836,0.27051,1.71543,3.46302,2.21527,0.00197919,0.00197919,0.00197919
4,106.931,1.71256,1.37464,1.97275,0.67729,0.58133,0.55297,0.29548,1.66538,1.77464,2.07624,0.0019802,0.0019802,0.0019802
5,132.711,1.54739,1.20688,1.8123,0.85477,0.69057,0.77108,0.49677,1.32349,1.16545,1.8493,0.0019736,0.0019736,0.0019736
6,157.642,1.49025,1.10325,1.72707,0.82909,0.66933,0.74894,0.35694,1.77237,1.37087,2.05968,0.001967,0.001967,0.001967
7,182.521,1.34967,1.00383,1.60236,0.88195,0.73333,0.80283,0.54459,1.25254,1.04581,1.6547,0.0019604,0.0019604,0.0019604
8,207.352,1.30528,0.89979,1.54003,0.94337,0.75519,0.82759,0.47811,1.41623,1.03203,1.74308,0.0019538,0.0019538,0.0019538
9,232.173,1.29695,0.87963,1.53363,0.87332,0.72533,0.78957,0.50304,1.32812,1.12475,1.66878,0.0019472,0.0019472,0.0019472
10,257.065,1.20824,0.79767,1.45566,0.9292,0.768,0.84474,0.59478,1.14055,1.01256,1.52946,0.0019406,0.0019406,0.0019406
11,283.402,1.15656,0.76772,1.41645,0.92753,0.75467,0.83939,0.59552,1.13078,1.00086,1.53266,0.001934,0.001934,0.001934
12,307.773,1.13093,0.74928,1.38188,0.92194,0.728,0.82232,0.54967,1.25515,0.98711,1.5751,0.0019274,0.0019274,0.0019274
13,332.548,1.08965,0.73359,1.35497,0.92087,0.81867,0.86704,0.63192,1.0538,0.79421,1.4591,0.0019208,0.0019208,0.0019208
14,358.221,1.07829,0.69715,1.33623,0.90591,0.78667,0.8484,0.56153,1.28214,0.91133,1.59931,0.0019142,0.0019142,0.0019142
15,384.279,1.06592,0.69445,1.33345,0.93551,0.81237,0.85133,0.54538,1.2391,0.9015,1.53716,0.0019076,0.0019076,0.0019076
16,410.529,1.07492,0.70675,1.3105,0.93921,0.80533,0.86797,0.64234,1.02083,0.79549,1.40925,0.001901,0.001901,0.001901
17,435.734,1.02959,0.67271,1.2766,0.90995,0.81867,0.85969,0.6396,1.00558,0.79179,1.37229,0.0018944,0.0018944,0.0018944
18,462.14,0.98138,0.6594,1.2501,0.95654,0.82162,0.87168,0.63778,0.99551,0.76154,1.35214,0.0018878,0.0018878,0.0018878
19,489.073,0.98135,0.63892,1.23853,0.95922,0.824,0.8704,0.66909,0.96083,0.74624,1.31109,0.0018812,0.0018812,0.0018812
20,515.574,0.98085,0.6261,1.23714,0.9406,0.80533,0.86696,0.65958,0.94565,0.75251,1.33232,0.0018746,0.0018746,0.0018746
21,541.133,0.94665,0.61767,1.21045,0.95579,0.816,0.87434,0.65735,0.95383,0.72288,1.28917,0.001868,0.001868,0.001868
22,565.912,0.9312,0.6035,1.1998,0.98068,0.81233,0.88019,0.67737,0.92212,0.68241,1.27044,0.0018614,0.0018614,0.0018614
23,590.612,0.93957,0.59213,1.21072,0.97172,0.82462,0.87844,0.67417,0.89354,0.7295,1.27019,0.0018548,0.0018548,0.0018548
24,616.096,0.93784,0.60211,1.20713,0.93983,0.84,0.87829,0.69158,0.88315,0.70035,1.26909,0.0018482,0.0018482,0.0018482
25,641.064,0.91529,0.57824,1.19461,0.95412,0.82133,0.87868,0.65148,0.95445,0.67694,1.29288,0.0018416,0.0018416,0.0018416
26,665.888,0.90839,0.57111,1.18673,0.95474,0.784,0.86451,0.67883,0.8824,0.76969,1.23896,0.001835,0.001835,0.001835
27,690.638,0.90516,0.57761,1.16362,0.95153,0.84533,0.87744,0.65853,0.94406,0.68784,1.29412,0.0018284,0.0018284,0.0018284
28,715.456,0.89196,0.56166,1.17682,0.96588,0.83037,0.87388,0.69135,0.83877,0.6483,1.24408,0.0018218,0.0018218,0.0018218
29,740.737,0.88118,0.54253,1.15288,0.97124,0.82933,0.88128,0.68715,0.91251,0.70215,1.22848,0.0018152,0.0018152,0.0018152
